cekilis_no,tarih,cekilen_1,cekilen_2,cekilen_3,cekilen_4,cekilen_5,cekilen_6,cekilen_7,cekilen_8,cekilen_9,cekilen_10,cekilen_11,cekilen_12,cekilen_13,cekilen_14,cekilen_15,cekilen_16,cekilen_17,cekilen_18,cekilen_19,cekilen_20,cekilen_21,cekilen_22
258,2023-02-24,4,6,8,12,13,16,17,32,33,37,38,39,42,45,50,51,56,60,62,63,66,71
259,2023-02-27,3,6,8,9,10,12,14,21,23,24,25,28,31,44,47,48,49,56,67,70,75,76
260,2023-03-03,3,4,9,13,22,25,26,32,33,35,36,38,40,43,44,50,57,59,60,65,73,77
261,2023-03-06,1,2,14,21,22,27,33,34,37,38,39,43,47,48,50,51,56,59,62,64,71,79
262,2023-03-10,3,12,16,17,19,20,23,29,30,31,32,34,38,46,47,52,59,62,64,69,79,80
263,2023-03-13,3,8,11,12,13,15,16,18,19,25,26,31,34,35,36,41,44,45,52,58,63,69
264,2023-03-17,1,4,14,15,30,44,46,49,51,52,53,54,56,61,62,64,72,74,75,76,77,79
265,2023-03-20,4,5,6,11,15,16,17,20,21,25,26,28,45,48,52,55,62,66,70,74,76,78
266,2023-03-24,9,11,12,13,17,22,25,30,34,37,42,46,48,50,52,58,59,61,69,71,72,76
267,2023-03-27,2,5,6,10,12,15,17,28,29,39,45,46,49,53,56,58,60,62,64,70,75,80
268,2023-03-31,2,3,6,7,8,12,13,15,20,25,33,37,38,44,45,47,60,61,64,68,71,73
269,2023-04-03,1,3,4,8,17,18,21,22,27,28,40,41,45,46,52,54,55,57,60,63,66,72
270,2023-04-07,2,5,6,10,13,16,17,22,30,35,42,45,48,53,54,55,56,59,64,75,78,80
271,2023-04-10,4,5,7,9,11,21,27,29,31,36,37,39,41,48,51,53,55,56,59,60,70,74
272,2023-04-14,13,15,16,18,21,26,28,35,37,38,48,49,50,55,57,64,65,67,68,69,73,80
273,2023-04-17,1,4,9,12,13,17,19,29,36,38,44,45,46,47,50,59,60,67,69,71,77,80
274,2023-04-21,2,8,12,13,14,17,31,33,36,37,40,41,48,53,55,58,60,62,66,69,72,77
275,2023-04-24,2,3,16,24,26,30,37,38,39,40,41,45,53,58,60,62,64,69,72,76,78,79
276,2023-04-28,1,2,4,11,14,15,18,22,30,32,33,34,36,38,41,43,48,55,61,64,69,79
277,2023-05-01,11,18,19,25,29,30,41,42,44,46,51,52,57,58,60,61,63,64,72,76,77,79
278,2023-05-05,6,7,13,16,18,20,30,31,32,35,48,50,51,52,53,56,59,61,62,68,73,78
279,2023-05-08,1,2,4,9,10,18,23,27,30,50,52,55,56,57,65,66,68,72,73,74,75,80
280,2023-05-12,6,10,11,14,20,23,42,48,49,52,53,55,58,59,60,61,63,64,69,70,71,74
281,2023-05-15,2,4,6,9,15,24,28,30,31,32,38,43,46,47,48,56,59,65,66,73,77,80
282,2023-05-19,5,7,20,24,29,30,31,35,38,43,46,47,51,52,54,57,62,65,66,70,71,74
283,2023-05-22,2,4,5,13,19,22,29,31,33,36,37,38,43,49,55,58,64,65,70,74,79,80
284,2023-05-26,4,9,12,22,27,28,29,31,33,34,36,37,38,39,50,54,58,59,65,71,73,79
285,2023-05-29,1,4,5,6,9,26,27,28,34,40,43,45,50,53,56,58,60,66,67,69,73,77
286,2023-06-02,1,8,11,12,14,16,18,24,26,34,36,41,42,50,54,57,58,59,64,67,73,78
287,2023-06-05,1,2,3,11,12,16,27,32,33,40,43,45,49,50,52,57,62,64,73,75,76,77
288,2023-06-09,1,14,15,16,18,26,33,40,43,44,47,48,55,59,60,61,62,64,65,67,68,71
289,2023-06-12,4,15,16,20,21,22,28,29,30,33,37,38,39,43,47,50,52,54,57,58,77,79
290,2023-06-16,2,4,12,15,19,22,24,29,34,36,40,43,44,52,56,60,62,73,75,76,77,79
291,2023-06-19,7,8,9,16,20,22,27,32,37,39,40,41,52,54,55,62,64,65,67,70,74,75
292,2023-06-23,2,7,12,14,15,18,20,23,24,42,49,50,52,53,57,63,65,66,67,69,70,79
293,2023-06-26,4,8,11,12,15,16,27,31,32,33,34,35,36,41,43,44,45,48,56,60,61,76
294,2023-06-30,3,5,8,13,14,17,20,23,24,27,31,35,39,40,44,47,52,54,59,70,74,78
295,2023-07-03,1,4,6,7,14,20,22,32,34,36,40,50,53,57,58,62,63,66,70,73,78,79
296,2023-07-07,1,3,4,7,10,11,12,13,17,21,23,34,46,52,54,57,58,60,63,65,69,80
297,2023-07-10,8,10,13,15,16,21,22,25,26,29,31,33,35,44,47,51,52,56,57,63,67,79
298,2023-07-14,1,2,7,12,14,15,17,25,29,33,39,42,49,50,58,60,63,74,75,76,78,79
299,2023-07-17,6,8,12,13,14,20,24,31,32,35,37,39,46,53,57,59,60,62,66,67,72,80
300,2023-07-21,8,9,10,11,13,16,25,27,28,30,32,34,38,40,47,49,50,51,55,70,73,74
301,2023-07-24,1,2,3,11,16,19,21,22,24,29,30,36,37,42,47,51,56,57,61,68,70,71
302,2023-07-28,8,9,17,20,22,24,26,28,29,31,32,33,35,37,39,53,57,60,65,68,74,77
303,2023-07-31,3,11,12,13,21,26,38,39,40,42,48,49,50,52,62,64,66,67,69,72,76,78
304,2023-08-04,4,5,10,13,17,18,24,25,31,32,36,37,39,43,49,52,64,65,69,71,76,78
305,2023-08-07,5,8,9,10,13,14,25,27,32,34,35,38,42,46,51,52,55,58,60,62,75,77
306,2023-08-11,2,4,6,12,14,15,16,21,31,32,34,36,37,42,43,50,57,66,67,68,69,73
307,2023-08-14,2,9,12,14,22,24,25,32,34,39,45,50,52,59,63,66,69,70,71,73,75,80
308,2023-08-18,2,4,7,11,18,22,26,28,29,38,41,42,47,51,53,54,60,61,63,65,72,78
309,2023-08-21,1,5,8,12,17,25,26,36,39,47,48,51,52,55,61,62,64,66,69,75,77,79
310,2023-08-25,8,12,13,14,15,16,17,21,34,39,40,43,48,50,55,57,64,68,69,75,77,79
311,2023-08-28,3,7,13,18,20,28,37,39,40,43,45,47,48,53,54,56,60,62,65,67,72,73
312,2023-09-01,5,9,14,24,25,30,31,32,33,37,38,43,47,50,53,54,58,59,63,67,71,79
313,2023-09-04,4,7,8,10,11,15,26,28,31,32,35,39,42,48,51,53,59,60,61,76,78,80
314,2023-09-08,1,6,7,8,12,14,19,21,22,26,29,31,37,38,46,48,52,53,54,65,77,79
315,2023-09-11,2,11,13,15,18,19,26,29,34,35,42,43,44,46,48,54,60,64,67,73,74,78
316,2023-09-15,10,12,14,15,16,20,21,27,37,39,40,43,44,45,47,54,55,71,72,73,74,76
317,2023-09-18,1,8,10,11,12,13,16,17,28,33,35,40,41,43,45,49,57,59,62,64,76,78
318,2023-09-22,5,7,11,14,18,19,23,24,36,39,41,42,44,45,49,54,60,63,65,69,76,77
319,2023-09-25,3,4,7,16,18,21,22,23,26,27,32,43,46,53,60,64,66,69,71,74,75,77
320,2023-09-29,2,3,12,15,20,21,24,26,31,34,38,40,42,45,50,51,55,69,70,75,78,79
321,2023-10-02,3,7,10,13,17,27,31,35,37,42,48,49,50,51,54,58,60,63,70,71,72,77
322,2023-10-06,3,4,5,7,18,19,23,35,41,44,45,48,50,52,61,63,66,67,69,74,76,80
323,2023-10-09,3,5,9,10,14,15,19,29,36,39,40,43,48,52,55,61,62,63,67,69,72,80
324,2023-10-13,6,8,12,14,20,23,28,30,34,36,43,47,49,52,53,56,67,71,72,73,75,78
325,2023-10-16,2,4,6,11,13,14,16,25,30,33,35,39,41,43,45,47,56,57,61,71,77,78
326,2023-10-20,7,10,14,16,17,19,26,30,37,38,39,41,43,48,55,59,63,65,70,73,75,77
327,2023-10-23,3,6,7,9,11,12,13,16,18,19,22,25,33,34,35,54,56,58,62,64,69,80
328,2023-10-27,8,9,11,12,13,15,16,19,33,37,41,42,46,48,49,51,53,56,59,64,65,73
329,2023-10-30,2,5,10,14,22,27,28,31,33,36,39,40,41,43,45,46,47,62,67,73,74,79
330,2023-11-03,3,5,6,12,14,19,29,31,34,37,38,41,43,48,53,54,58,62,63,65,66,80
331,2023-11-06,2,7,8,9,17,21,34,35,41,43,49,50,51,52,60,62,68,70,73,74,75,80
332,2023-11-10,1,8,9,10,15,22,29,30,35,36,43,47,48,51,52,54,58,61,65,70,78,79
333,2023-11-13,5,7,10,12,13,15,16,18,21,34,43,51,53,61,64,66,72,73,75,76,77,79
334,2023-11-17,9,11,12,17,19,20,21,29,32,34,39,40,43,45,48,54,57,61,64,73,74,76
335,2023-11-20,6,10,11,17,18,23,25,33,42,44,46,47,48,61,62,63,66,70,71,73,77,80
336,2023-11-24,1,5,9,11,13,17,21,22,30,33,46,48,50,51,55,61,62,68,73,77,78,79
337,2023-11-27,1,16,19,26,27,28,30,34,40,46,47,50,55,56,57,60,62,64,74,75,77,78
338,2023-12-01,3,7,8,11,20,21,29,34,40,42,44,46,49,50,61,64,65,67,69,74,77,79
339,2023-12-04,4,6,15,19,22,23,26,30,31,37,38,39,44,49,50,51,58,65,73,75,76,80
340,2023-12-08,3,4,6,7,8,9,17,30,31,33,40,41,42,44,47,55,58,64,72,73,76,78
341,2023-12-11,2,3,11,17,23,25,30,37,39,40,45,48,49,51,56,59,62,64,69,71,72,78
342,2023-12-15,1,3,10,15,21,25,26,31,32,37,41,44,47,48,52,53,55,58,63,70,71,75
343,2023-12-18,7,8,10,14,16,17,21,25,31,33,35,39,42,46,50,51,53,54,59,69,70,73
344,2023-12-22,2,5,7,14,18,19,20,21,24,25,34,38,39,40,43,46,47,48,50,53,60,77
345,2023-12-25,9,11,18,20,21,22,23,27,29,30,34,39,40,44,47,52,55,62,68,69,71,72
346,2023-12-29,4,6,7,9,17,20,21,29,30,34,47,50,51,52,53,60,62,65,69,73,77,80
347,2024-01-01,3,4,6,12,13,16,24,27,28,29,31,34,35,36,42,47,52,53,59,67,73,74
348,2024-01-05,9,15,16,19,24,29,34,40,43,46,50,51,57,62,64,66,72,76,77,78,79,80
349,2024-01-08,6,11,12,14,18,22,26,30,32,35,43,46,49,50,51,53,59,67,70,71,72,74
350,2024-01-12,1,4,21,23,27,31,33,38,40,45,46,53,59,60,62,65,69,70,71,73,76,78
351,2024-01-15,5,12,13,18,22,28,31,33,34,35,37,47,54,55,60,61,64,66,67,70,71,75
352,2024-01-19,5,6,7,10,12,15,19,21,29,39,40,51,55,56,59,62,64,65,67,68,76,77
353,2024-01-22,1,2,3,4,11,19,20,22,24,25,34,41,44,45,52,57,67,68,69,74,76,79
354,2024-01-26,3,4,10,16,18,22,29,31,34,45,47,48,54,56,60,61,66,71,72,76,78,79
355,2024-01-29,11,17,18,24,25,26,27,32,39,46,48,50,52,59,60,63,65,66,67,70,73,77
356,2024-02-02,2,3,8,9,14,15,17,19,27,28,31,35,41,46,55,65,67,70,73,77,78,80
357,2024-02-05,1,3,5,8,10,12,15,23,24,33,36,42,52,58,60,62,65,67,71,72,77,80
358,2024-02-09,7,11,15,16,18,30,32,35,37,39,45,54,55,57,58,59,61,62,66,74,77,78
359,2024-02-12,5,6,14,16,22,24,26,29,33,34,36,38,45,50,53,54,63,71,72,73,76,77
360,2024-02-16,9,16,19,28,39,41,42,44,45,46,47,48,49,55,57,58,59,62,65,68,73,75
361,2024-02-19,1,6,14,15,17,18,21,25,26,27,33,37,42,43,52,66,71,72,73,74,77,79
362,2024-02-23,1,2,8,11,14,16,18,24,26,29,30,32,39,42,44,52,55,62,65,66,67,80
363,2024-02-26,4,8,11,13,14,15,28,40,41,42,44,45,46,48,53,63,65,66,69,72,77,79
364,2024-03-01,11,12,14,21,23,25,32,33,34,35,38,42,49,50,52,53,60,62,76,77,78,79
365,2024-03-04,5,8,10,12,22,24,26,34,36,38,40,41,45,48,50,51,52,53,61,68,77,78
366,2024-03-08,3,4,6,13,17,18,22,27,28,31,36,39,40,47,49,54,56,62,63,64,66,74
367,2024-03-11,1,2,5,7,15,19,20,27,28,29,31,33,36,37,44,46,50,52,70,75,77,79
368,2024-03-15,1,5,7,9,14,16,21,25,26,28,34,36,41,53,58,59,61,64,65,73,76,80
369,2024-03-18,1,2,3,7,14,17,21,23,24,29,36,41,44,52,53,56,61,65,75,78,79,80
370,2024-03-22,1,5,10,16,19,21,22,24,26,28,34,40,43,46,51,53,55,58,61,65,71,72
371,2024-03-25,11,12,24,25,26,28,30,32,36,37,41,42,44,46,47,48,50,54,59,65,67,70
372,2024-03-29,4,6,7,9,10,12,13,19,20,26,28,32,36,37,38,42,44,48,53,61,73,74
373,2024-04-01,3,4,6,8,19,22,30,32,33,34,36,39,40,47,49,53,56,57,65,68,72,74
374,2024-04-05,16,19,21,22,23,26,28,29,31,34,35,39,44,58,61,62,66,69,70,77,79,80
375,2024-04-08,2,5,8,13,16,18,27,28,34,36,37,45,47,56,61,62,64,66,69,70,77,80
376,2024-04-12,2,12,15,19,20,26,27,31,33,34,37,45,48,52,61,67,69,72,74,75,76,78
377,2024-04-15,3,5,11,13,14,19,22,27,28,30,31,38,39,43,44,53,54,57,60,67,72,73
378,2024-04-19,1,3,4,13,14,15,20,21,27,31,33,37,42,50,51,57,58,59,60,63,72,75
379,2024-04-22,9,13,20,22,23,26,30,31,36,41,43,44,46,48,51,56,60,62,65,71,76,78
380,2024-04-26,3,11,12,17,22,26,27,28,31,36,37,41,43,44,45,53,56,58,60,71,73,77
381,2024-04-29,6,11,14,15,16,24,27,33,37,39,44,47,48,49,51,53,59,62,69,71,77,78
382,2024-05-03,8,10,11,13,14,17,18,22,25,28,39,41,48,50,55,58,61,66,73,75,77,79
383,2024-05-06,3,4,6,12,13,19,24,31,32,34,38,42,43,49,51,57,58,65,67,69,79,80
384,2024-05-10,2,3,7,8,10,15,16,18,20,21,27,30,37,49,54,58,60,62,65,66,67,78
385,2024-05-13,1,4,13,14,16,17,20,30,33,37,39,41,42,53,55,56,58,59,62,69,77,80
386,2024-05-17,1,7,8,9,11,15,16,22,23,25,26,28,38,43,48,50,56,57,69,73,78,79
387,2024-05-20,3,4,8,9,11,19,21,22,32,37,38,45,49,60,61,65,66,70,73,74,76,77
388,2024-05-24,4,6,7,8,11,12,16,23,26,28,30,34,35,36,41,50,56,58,59,66,70,75
389,2024-05-27,6,13,15,18,21,23,25,26,28,29,37,38,39,40,41,45,48,49,50,60,69,78
390,2024-05-31,3,13,16,17,18,19,22,25,30,35,37,40,48,54,56,58,62,65,68,69,72,77
391,2024-06-03,5,14,15,16,21,27,28,35,40,41,48,49,52,54,57,61,62,64,65,66,69,77
392,2024-06-07,1,2,3,4,6,9,19,25,28,30,31,34,36,43,44,47,48,52,53,66,68,73
393,2024-06-10,6,8,9,10,16,20,22,28,30,31,33,34,43,44,50,52,59,63,64,67,77,79
394,2024-06-14,3,11,14,15,18,20,24,37,41,52,53,56,58,60,62,63,64,65,71,72,73,79
395,2024-06-17,5,7,8,12,14,18,19,21,22,24,27,32,34,36,37,40,42,60,68,75,77,79
396,2024-06-21,7,8,12,13,14,16,18,21,22,27,31,33,34,36,37,38,43,54,62,63,65,70
397,2024-06-24,2,7,15,19,21,24,25,27,33,34,37,44,47,48,49,54,55,57,64,70,77,79
398,2024-06-28,5,8,9,11,12,14,20,29,31,36,40,45,50,54,57,59,61,62,66,73,77,78
399,2024-07-01,1,5,7,12,20,23,27,34,36,40,41,42,48,49,51,58,61,67,68,77,78,79
400,2024-07-05,1,4,6,7,8,9,14,19,23,29,47,50,53,54,55,60,62,66,67,70,74,78
401,2024-07-08,1,4,12,17,21,22,31,33,37,42,47,50,51,54,59,68,69,70,73,77,78,79
402,2024-07-12,8,9,13,17,24,28,30,32,33,35,38,39,44,45,48,50,52,68,75,77,78,80
403,2024-07-15,1,8,11,13,15,16,19,22,24,27,28,31,39,46,47,48,49,58,60,66,76,80
404,2024-07-19,3,4,10,13,15,16,17,25,28,29,30,38,40,44,45,51,53,54,57,62,66,67
405,2024-07-22,2,3,5,6,10,14,17,18,20,28,30,32,36,45,48,53,59,68,70,73,78,79
406,2024-07-26,4,5,6,9,12,15,20,21,26,28,33,46,47,54,57,60,66,72,74,76,77,79
407,2024-07-29,4,6,24,26,28,34,37,38,40,41,46,48,56,57,58,59,61,63,64,65,74,77
408,2024-08-02,3,9,10,12,16,17,26,28,34,37,38,41,44,48,52,53,59,64,65,70,76,78
409,2024-08-05,2,4,9,14,15,25,26,27,30,33,39,46,47,50,52,57,60,65,69,72,79,80
410,2024-08-09,1,4,5,10,11,13,15,18,21,22,24,26,28,36,39,40,43,48,52,53,57,67
411,2024-08-12,2,5,8,9,13,20,25,26,27,29,32,36,38,47,51,56,57,69,71,73,74,80
412,2024-08-16,7,11,19,22,25,30,38,42,44,47,50,51,53,55,56,57,67,71,73,74,75,77
413,2024-08-19,4,5,9,14,15,22,24,27,29,35,36,40,42,43,57,58,65,66,67,73,77,80
414,2024-08-23,10,17,18,32,33,34,36,40,41,42,43,44,45,51,53,58,59,63,67,69,70,74
415,2024-08-26,3,5,6,10,17,19,21,31,32,37,41,43,45,52,59,61,62,63,64,65,71,72
416,2024-08-30,8,9,12,13,23,24,28,33,37,42,44,49,53,58,59,60,64,65,67,74,77,80
417,2024-09-02,6,12,13,15,19,21,28,29,39,41,43,44,46,48,49,52,59,61,71,72,77,80
418,2024-09-06,2,7,10,11,14,15,16,21,33,37,41,42,44,57,61,63,67,70,72,73,76,80
419,2024-09-09,1,4,8,9,14,18,19,21,26,30,34,46,49,50,55,60,61,69,71,73,79,80
420,2024-09-13,1,4,8,11,13,16,17,23,26,37,45,48,50,56,59,60,67,68,69,71,73,75
421,2024-09-16,3,4,9,10,15,20,22,24,25,30,32,39,45,47,49,58,63,69,75,76,78,79
422,2024-09-20,6,15,18,20,36,37,39,40,45,47,54,57,58,61,62,64,65,73,76,77,78,80
423,2024-09-23,1,5,7,12,14,18,20,27,31,35,38,41,44,46,50,51,52,58,64,71,74,77
424,2024-09-27,2,3,5,10,18,19,22,26,28,33,38,40,41,45,48,51,59,61,65,70,75,77
425,2024-09-30,2,6,10,12,16,22,27,33,36,44,49,50,54,58,61,63,68,70,72,74,76,77
426,2024-10-04,5,8,14,16,17,25,29,37,40,41,42,46,52,55,56,60,65,67,71,74,77,79
427,2024-10-07,1,2,3,4,6,8,22,32,37,39,41,43,60,61,63,64,66,69,73,74,75,79
428,2024-10-11,2,3,6,10,15,18,26,35,42,45,48,49,54,57,59,60,62,64,65,73,76,77
429,2024-10-14,2,3,8,11,12,15,18,19,23,24,25,26,31,36,43,45,49,54,55,60,68,77
430,2024-10-18,2,4,6,7,8,12,14,15,18,20,22,24,27,32,38,40,41,42,44,51,53,55
431,2024-10-21,11,16,23,25,27,30,31,40,44,48,51,52,57,58,59,60,61,64,69,74,75,78
432,2024-10-25,1,11,12,20,27,29,30,32,34,37,40,43,45,59,60,62,63,69,71,72,74,76
433,2024-10-28,1,3,4,7,10,15,27,29,38,40,47,55,61,62,63,65,69,71,72,77,79,80
434,2024-11-01,1,2,6,7,10,19,23,24,25,27,29,33,43,44,47,52,56,64,65,67,72,77
435,2024-11-04,4,6,13,16,17,20,23,27,32,41,46,47,51,55,60,65,67,71,74,75,79,80
436,2024-11-08,7,12,17,22,28,32,33,36,44,45,47,48,50,53,55,57,59,66,73,77,78,80
437,2024-11-11,4,6,8,11,20,21,22,23,24,37,39,45,47,49,54,55,59,67,73,75,77,80
438,2024-11-15,4,5,6,9,13,14,16,19,21,23,26,33,35,40,47,49,52,67,69,71,75,77
439,2024-11-18,7,8,11,12,13,23,26,27,31,33,35,37,51,53,56,62,69,70,73,77,78,80
440,2024-11-22,1,2,4,9,21,25,34,40,44,45,47,49,53,57,58,63,66,67,75,77,79,80
441,2024-11-25,1,2,3,15,18,19,20,21,32,33,36,39,44,49,52,61,64,66,67,68,74,75
442,2024-11-29,3,5,7,9,12,20,23,38,41,42,49,53,54,56,57,62,68,70,75,76,78,80
443,2024-12-02,4,14,15,18,19,23,26,29,30,34,35,38,40,45,49,55,63,68,70,74,76,79
444,2024-12-06,2,6,9,10,13,19,20,21,22,24,33,36,40,42,43,50,53,56,57,69,74,80
445,2024-12-09,6,7,14,16,18,22,30,31,32,33,36,40,41,42,46,53,57,60,62,67,69,72
446,2024-12-13,2,5,7,10,11,26,27,35,40,47,48,50,52,57,60,61,67,70,73,75,76,80
447,2024-12-16,3,10,15,16,19,21,23,24,26,29,32,37,41,46,47,50,58,64,71,72,77,79
448,2024-12-20,4,6,7,10,11,12,17,20,21,25,26,28,30,36,40,52,54,55,56,64,68,72
449,2024-12-23,2,4,12,15,18,20,23,28,32,35,36,37,44,49,51,59,61,64,69,71,73,77
450,2024-12-27,1,4,6,10,12,27,29,38,42,46,49,50,52,55,63,69,72,73,75,78,79,80
451,2024-12-30,7,9,10,15,18,19,22,27,38,42,46,47,51,53,54,57,62,67,68,76,79,80
452,2025-01-03,2,13,14,19,25,26,27,31,35,41,43,47,54,56,57,58,61,62,63,64,70,71
453,2025-01-06,5,7,8,10,13,18,19,21,24,25,31,35,39,41,43,49,55,56,64,71,72,79
454,2025-01-10,4,9,12,13,15,22,23,25,26,34,35,41,45,48,49,50,54,57,59,63,74,75
455,2025-01-13,2,3,4,5,10,15,19,20,29,32,33,39,40,44,47,51,57,60,66,67,73,80
456,2025-01-17,4,6,11,12,20,23,24,25,29,31,34,38,40,43,45,47,48,58,61,63,70,77
457,2025-01-20,5,7,12,13,14,15,19,20,25,26,28,38,42,46,51,63,65,67,70,71,75,77
458,2025-01-24,7,14,15,20,21,24,25,27,30,35,42,44,51,52,56,57,59,63,72,73,77,79
459,2025-01-27,2,7,10,16,22,25,26,33,34,35,37,38,42,44,47,48,51,52,58,63,66,69
460,2025-01-31,2,5,7,12,14,15,21,22,27,28,30,35,41,58,59,62,64,66,67,72,78,80
461,2025-02-03,1,4,8,17,18,23,24,34,40,41,46,48,50,51,54,55,57,64,67,68,69,70
462,2025-02-07,5,7,12,14,16,18,26,28,33,34,37,45,47,51,55,58,63,65,66,67,76,77
463,2025-02-10,8,10,11,12,15,16,21,24,25,29,31,32,34,35,42,44,45,55,65,73,74,80
464,2025-02-14,1,5,10,11,12,15,19,25,26,31,38,43,44,49,51,52,55,57,59,61,65,76
465,2025-02-17,6,8,9,31,33,34,46,47,49,52,55,56,57,58,63,64,66,71,72,76,77,79
466,2025-02-21,2,4,6,8,20,22,27,29,30,31,34,37,39,40,41,52,53,57,62,67,71,72
467,2025-02-24,6,8,9,10,17,21,24,29,32,35,36,40,49,51,55,58,62,65,66,70,72,74
468,2025-02-28,2,5,6,8,11,18,22,23,26,30,39,41,44,47,50,53,56,62,67,75,77,79
469,2025-03-03,1,3,5,6,9,10,11,13,17,23,24,30,32,47,48,55,63,64,67,71,74,79
470,2025-03-07,4,5,7,8,10,14,18,19,20,28,29,38,39,48,55,56,57,59,65,69,71,73
471,2025-03-10,2,4,14,17,24,27,31,37,39,40,45,51,53,54,55,60,61,64,65,70,74,77
472,2025-03-14,4,8,9,10,14,18,19,26,29,31,32,38,40,47,54,58,68,70,72,73,74,80
473,2025-03-17,1,3,6,7,10,12,15,20,31,36,38,42,50,54,58,60,62,69,73,76,78,79
474,2025-03-21,4,5,18,20,32,33,35,37,38,46,51,54,57,64,65,67,68,70,71,72,75,78
475,2025-03-24,1,2,3,9,13,15,16,17,28,29,30,31,43,44,47,48,50,54,58,73,76,78
476,2025-03-28,2,4,14,16,17,22,23,27,29,35,38,40,44,51,54,55,57,63,69,70,77,80
477,2025-03-31,2,9,11,12,13,16,23,27,28,29,31,34,38,41,56,57,63,64,73,75,79,80
478,2025-04-04,1,2,4,6,8,9,13,16,28,29,35,38,43,48,50,59,63,73,75,77,78,80
479,2025-04-07,2,5,17,20,22,26,29,33,42,43,44,49,54,56,61,68,69,70,72,73,74,77
480,2025-04-11,2,4,7,9,10,12,14,19,24,32,33,38,40,48,49,51,53,64,65,72,74,76
481,2025-04-14,1,4,12,14,17,19,24,25,26,27,28,37,38,41,46,48,50,52,54,69,72,73
482,2025-04-18,2,10,12,17,21,24,27,29,32,36,37,40,41,42,43,47,54,66,72,74,75,80
483,2025-04-21,4,7,11,15,20,22,25,26,28,29,37,40,41,56,62,63,68,69,71,72,73,80
484,2025-04-25,10,13,14,16,18,22,28,32,38,40,41,42,45,50,56,65,66,73,74,75,77,80
485,2025-04-28,1,6,10,17,21,23,24,27,28,31,36,38,42,46,49,52,64,65,67,68,72,75
486,2025-05-02,1,3,4,9,10,15,20,22,23,28,33,43,44,45,52,56,57,60,67,75,78,80
487,2025-05-05,2,5,10,15,17,19,22,24,29,39,40,48,49,52,53,56,71,72,74,75,77,80
488,2025-05-09,2,6,8,9,15,16,17,20,21,36,37,46,50,52,53,56,58,62,63,68,70,80
489,2025-05-12,4,5,6,22,24,25,27,32,38,41,42,45,48,51,54,56,58,59,61,73,78,79
490,2025-05-16,9,13,14,28,29,38,39,40,41,42,43,49,52,56,59,62,65,68,71,72,73,80
491,2025-05-19,2,3,5,15,19,26,33,42,45,46,47,48,51,52,57,59,61,64,65,67,69,73
492,2025-05-23,4,6,8,11,12,21,22,24,28,30,31,39,41,45,50,54,64,70,71,74,76,79
493,2025-05-26,1,5,9,10,12,14,19,22,28,34,38,40,42,45,55,58,74,75,76,77,79,80
494,2025-05-30,3,4,8,9,12,19,24,28,31,32,34,39,45,49,54,56,58,65,67,68,72,75
495,2025-06-02,5,12,14,16,23,27,31,36,38,39,43,45,46,55,58,59,60,69,70,74,77,79
496,2025-06-06,15,16,17,20,21,25,26,28,34,37,40,42,53,54,58,60,62,64,67,68,74,75
497,2025-06-09,6,10,13,21,24,25,26,27,28,29,35,38,43,46,48,49,55,56,58,62,66,80
498,2025-06-13,1,3,13,23,24,27,28,29,30,31,35,38,39,44,55,60,66,68,71,75,77,80
499,2025-06-16,4,6,7,8,11,15,23,26,27,34,41,42,45,57,58,61,64,66,68,69,72,79
500,2025-06-20,1,3,4,14,15,22,24,27,28,31,35,39,41,43,44,50,57,58,60,62,75,78
501,2025-06-23,4,5,6,7,23,25,28,31,33,36,40,41,43,46,47,54,58,59,62,64,70,79
502,2025-06-27,2,9,11,12,24,30,33,34,35,41,42,50,52,53,55,57,65,66,69,77,78,79
503,2025-06-30,1,11,18,19,21,22,32,33,34,35,38,42,45,47,52,54,58,59,62,63,71,79
504,2025-07-04,6,10,14,17,19,22,26,29,30,35,36,42,50,58,67,68,71,72,74,75,78,80
505,2025-07-07,5,8,13,14,20,21,26,27,34,38,40,47,52,54,58,62,63,65,66,70,74,77
506,2025-07-11,4,11,12,16,22,28,31,32,34,35,43,47,48,49,52,54,60,64,66,72,76,79
507,2025-07-14,1,7,8,11,18,21,24,27,28,38,41,42,43,55,65,67,70,73,75,76,78,80
508,2025-07-18,1,4,6,7,11,14,15,16,21,27,31,32,43,45,47,50,52,54,63,66,75,77
509,2025-07-21,5,6,8,9,10,11,14,17,20,22,25,28,32,34,39,42,45,52,68,70,76,78
510,2025-07-25,4,7,16,19,24,25,26,27,29,30,31,36,37,40,42,50,56,59,60,70,72,75
511,2025-07-28,2,4,5,11,12,13,15,18,19,26,28,30,37,41,42,44,48,53,60,68,76,80
512,2025-08-01,7,9,10,12,13,16,18,21,27,34,40,41,47,48,54,57,63,66,70,72,74,80
513,2025-08-04,4,11,12,15,17,19,25,29,32,37,39,40,43,47,48,50,57,59,61,67,69,78
514,2025-08-08,2,6,14,17,18,21,33,34,38,40,41,44,48,51,52,54,58,60,61,68,71,72
515,2025-08-11,1,5,16,17,18,24,25,30,31,34,38,40,44,49,51,55,56,60,61,67,72,78
516,2025-08-15,1,6,9,16,17,31,32,33,36,37,41,53,55,56,58,59,60,63,64,68,75,80
517,2025-08-18,1,2,3,4,10,15,21,24,29,30,31,32,33,35,40,43,50,57,59,68,71,75
518,2025-08-22,1,7,8,14,17,22,35,40,41,45,47,54,57,59,60,63,68,69,70,72,74,80
