tarih,sayi_1,sayi_2,sayi_3,sayi_4,sayi_5,sayi_6
2026-01-17,18,33,60,68,76,83
2026-01-19,10,39,43,69,80,88
2026-01-22,6,33,34,38,70,71
2026-01-24,5,8,33,65,72,90
2026-01-26,8,9,31,50,51,53
2026-01-29,19,33,35,43,47,70
2026-01-31,2,3,15,20,33,50
2026-02-02,21,45,54,67,72,90
2026-02-05,1,12,14,17,69,86
2026-02-07,25,27,53,54,63,65
2026-02-09,1,10,18,25,51,69
2026-02-12,11,20,25,51,84,88
2026-02-14,5,17,20,64,69,70
2026-02-16,14,28,31,51,68,84
2026-02-19,42,47,65,81,88,90
2026-02-21,7,19,27,37,43,78
2026-02-23,9,10,11,39,66,85
2026-02-26,4,11,15,53,57,83
2026-02-28,12,20,38,39,42,75
2026-03-02,2,8,17,19,66,77
2026-03-05,38,48,49,65,81,85
2026-03-07,40,43,62,75,83,85
2026-03-09,7,28,58,68,88,89
2026-03-12,35,36,38,47,60,72
2026-03-14,37,43,52,59,72,88
2026-03-16,8,44,46,51,57,67
2026-03-19,8,23,45,47,57,65
2026-03-21,44,58,69,71,78,85
2026-03-23,5,20,27,57,86,88
2026-03-26,22,24,27,30,69,74
2026-03-28,13,24,37,46,57,71
2026-03-30,16,22,34,42,50,62
2026-04-02,1,48,54,79,82,84
2026-04-04,4,27,30,31,33,56
2026-04-06,4,8,9,41,66,88
2026-04-09,24,32,46,52,65,83
2026-04-11,10,11,21,36,61,67
2026-04-13,27,34,48,49,53,73
2026-04-16,20,39,59,61,74,90
2026-04-18,8,51,61,63,69,74
2026-04-20,6,17,37,38,45,50
2026-04-23,40,45,51,55,58,82
2026-04-25,24,26,52,53,56,74
2026-04-27,18,23,41,53,73,78
2026-04-30,3,14,29,32,48,89
2026-05-02,9,12,34,37,42,44
2026-05-04,9,10,21,33,38,83
2026-05-07,3,5,17,21,27,31
